number,stopsForward,stopsBackward
"1","1,2,3,4,5,6,7,8,9,10,11,12,13","13,14,15,16,17,18,19,20,21,22,23,24"
"2","4,5,6,7,8,24,25,26","26,27,16,17,18,19,20,21"
"3","28,29,30,31,32,33,34,24,25,26","26,27,35,36,37,38,39,40,41,42"
"4","43,44,45,46,47,48,49,34,24,25,26","26,27,35,10,50,51,52,53,54"
"5","26,27,35,10,50,51,52,53,54,55,56,57,58,59,60,61","62,63,64,65,66,67,44,45,46,47,48,49,34,24,25,26"
"6","1,2,3,4,5,6,7,8,9,10,50,51,52,53,54","43,44,45,46,47,48,49,34,17,18,19,20,21,22,23"
"7","43,44,45,46,47,48,49,34,17,18,19,20,21,4","4,5,6,7,8,9,10,50,51,52,53,54"
"8","68,10,50,51,52,53,54,55,56,57,58,59,60,61,69,70","71,72,62,63,64,65,66,67,44,45,46,47,48,49,34,24,68"
"8L","",""
"9","73,74,75,5,6,7,8,24,25,26","26,27,16,17,18,19,20,76,77,78"
"10","79,80,81,82,83,84,85,52,86,87,88,89,28","28,29,30,31,32,33,10,11,12,90,91,92,93,94,95,96,97,98"
"14","",""
"21","144,104,145,146,147,148,149,150,151,152,153,154,155","155,156,157,158,159,160,161,162,163,32,33,144"
"35","99,100,101,102,103,32,33,34,24,25,26","26,27,35,104,105,106,107,108"
"39","109,25,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126","126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,109"
"44","164,165,166,167,168,169,170,68,171,172,173,87,88,89,174","175,176,177,30,31,32,33,34,178,179,180,181,182,183,184,164"
